0000001 002  -----   -----                    
0000011 180  II      in                       Z5 
0000011 190  NN2     duits                    Z99 
0000011 200  JJR     kieler                   Z2 Z3c 
0000011 210  NN1     studien                  Z99 
0000011 220  MC      12                       N1 T1.2 T3 T1.3 N3.2 
0000013 010  AT      the                      Z5 
0000013 020  NN1     solution                 X4.2 O1.2 
0000013 030  IO      of                       Z5 
0000013 040  AT      the                      Z5 
0000013 050  JJ      karelian                 Z99 
0000013 060  NN1     refugee                  M1/S2mf 
0000013 070  NN1     problem                  A12- X4.1 N2 B2- 
0000013 080  II      in                       Z5 
0000013 090  NN1     finland                  Z2 
0000015 010  DD      some                     N5 Z5 
0000015 020  NN2     factors                  A2.2 A4.1 N2 I2.1/S2mf@ 
0000015 030  VVG     influencing              A2.2 A2.1+ 
0000015 040  JJ      postwar                  T1.3 
0000015 050  NN1     emigration               M1/M7 
0000015 060  II      from                     Z5 
0000015 070  AT      the                      Z5 
0000015 080  NN2     netherlands              Z2 Z3c 
0000017 010  DD      some                     N5 Z5 
0000017 020  NN2     remarks                  Q2.2 
0000017 030  II      on                       Z5 
0000017 040  JJ      selective                X7+ 
0000017 050  NN1     migration                M1 
0000019 010  ZZ1     l                        Z5 
0000019 020  NN1     immigration              M1/M7 
0000019 030  FW      en                       Z5 
0000019 040  NN1     france                   Z2 Z1mf 
0000019 050  NN1     depuis                   Z99 
0000019 060  MC      1945                     N1 T1.2 T3 T1.3 N3.2 
0000021 010  JJ      economic                 I1.3- I2.1 
0000021 020  NN2     impacts                  A2.2 A1.1.1 
0000021 030  IO      of                       Z5 
0000021 040  NN1     immigration              M1/M7 
0000021 050  AT      the                      Z5 
0000021 060  JJ      brazilian                Z2 
0000021 070  NN1     immigration              M1/M7 
0000021 080  NN1     problem                  A12- X4.1 N2 B2- 
0000023 010  NN1     **28;7;TOOLONG           Z99 
0000023 020  AT      the                      Z5 
0000023 030  NN2     consequences             A2.2 
0000023 040  IO      of                       Z5 
0000023 050  AT      the                      Z5 
0000023 060  JJ      demographic              S5+ 
0000023 070  NN1     development              A2.1+ A5.1+/A2.1 H1 
0000023 080  II      in                       Z5 
0000023 090  AT      the                      Z5 
0000023 100  NN2     netherlands              Z2 Z3c 
0000025 010  AT      the                      Z5 
0000025 020  NN1     assimilation             A6.1+/A2.1 A9+ 
0000025 030  CC      and                      Z5 
0000025 040  NN1     integration              A1.8+ S5+ A2.2 N2% 
0000025 050  IO      of                       Z5 
0000025 060  JJ      pre-                     N4 
0000025 070  CC      and                      Z5 
0000025 080  JJ      postwar                  T1.3 
0000025 090  NN2     refugees                 M1/S2mf 
0000025 100  II      in                       Z5 
0000025 110  AT      the                      Z5 
0000025 120  NN2     netherlands              Z2 Z3c 
0000027 010  AT      the                      Z5 
0000027 020  NN1     german                   Z2/S2mf Z2/Q3 
0000027 030  NN1     exodus                   M1 S9 
0000027 040  AT1     a                        Z5 
0000027 050  JJ      selective                X7+ 
0000027 060  NN1     study                    P1 X2.4 H2 Q1.2 C1 
0000027 070  II      on                       Z5 
0000027 080  AT      the                      Z5 
0000027 090  NN1     post                     Q1.2 O2 I3.1 M6 
0000027 100  NN1     world                    Z3[i3.3.1 W1 S5+c A4.1 N5+ G3[i2.2.1 
0000027 110  NN1     war                      Z3[i3.3.2 G3 S7.3 G3[i2.2.2 
0000027 120  MC      ii                       Z3[i3.3.3 N1 
0000027 130  NN1     expulsion                P1/G2.1 M2 
0000027 140  IO      of                       Z5 
0000027 150  NN1     german                   Z2/S2mf Z2/Q3 
0000027 160  NN2     populations              S2/N5c 
0000027 170  CC      and                      Z5 
0000027 180  APPGE   its                      Z8 
0000027 190  NN2     effects                  A2.2 A8 
0000029 010  NN1     adjustment               A2.1+ 
0000029 020  II      after                    Z5 
0000029 030  NN1     migration                M1 
0000029 040  AT1     a                        Z5 
0000029 050  JJ      longitudinal             Z99 
0000029 060  NN1     study                    P1 X2.4 H2 Q1.2 C1 
0000029 070  IO      of                       Z5 
0000029 080  AT      the                      Z5 
0000029 090  NN1     process                  A1.1.1 X4.2 
0000029 100  IO      of                       Z5 
0000029 110  NN1     adjustment               A2.1+ 
0000029 120  II      by                       Z5 
0000029 130  NN2     refugees                 M1/S2mf 
0000029 140  II      to                       Z5 
0000029 150  AT1     a                        Z5 
0000029 160  JJ      new                      T3- 
0000029 170  NN1     environment              W5 W3 E1 Y2 O4.1 
0000031 010  AT      the                      Z5 
0000031 020  NN1     assimilation             A6.1+/A2.1 A9+ 
0000031 030  NN1     myth                     S9/Q2.2 A5.2-/Q2.2 
0000031 040  AT1     a                        Z5 
0000031 050  NN1     study                    P1 X2.4 H2 Q1.2 C1 
0000031 060  IO      of                       Z5 
0000031 070  MD      second                   N4/T1.3[i4.2.1 N4 
0000031 080  NN1     generation               N4/T1.3[i4.2.2 T1.3 S5+c 
0000031 090  NN1     polish                   Z2/Q3 
0000031 100  NN2     immigrants               M1/M7/S2mf 
0000031 110  II      in                       Z5 
0000031 120  JJ      western                  M6 T3- 
0000031 130  NN1     australia                Z2 
0000033 010  NN1     acculturation            Z99 
0000033 020  CC      and                      Z5 
0000033 030  NN1     occupation               I3.1 A1.1.1 G3 H4 
0000033 040  AT1     a                        Z5 
0000033 050  NN1     study                    P1 X2.4 H2 Q1.2 C1 
0000033 060  IO      of                       Z5 
0000033 070  AT      the                      Z5 
0000033 080  MC      1956                     N1 T1.2 T3 T1.3 N3.2 
0000033 090  JJ      hungarian                Z2 Z2/Q3 
0000033 100  NN2     refugees                 M1/S2mf 
0000033 110  II      in                       Z5 
0000033 120  AT      the                      Z5 
0000033 130  JJ      united                   Z2c[i5.2.1 S5+ 
0000033 140  NN2     states                   Z2c[i5.2.2 G1.1c O4.1 
0000035 010  AT      the                      Z5 
0000035 020  NN1     return                   M1 A9- S1.1.2+ N6 I1.1 G1.1/Q1.2 M3 K5.1 Y2% 
0000035 030  NN1     movement                 M1 S5+c K2 A2.1+ 
0000035 040  IO      of                       Z5 
0000035 050  NN2     jews                     S9/S2mf 
0000035 060  II      to                       Z5 
0000035 070  NN1     austria                  Z2 Z1 
0000035 080  II      after                    Z5 
0000035 090  AT      the                      Z5 
0000035 100  MD      second                   Z3[i6.3.1 N4 
0000035 110  NN1     world                    Z3[i6.3.2 W1 S5+c A4.1 N5+ G3[i7.2.1 
0000035 120  NN1     war                      Z3[i6.3.3 G3 S7.3 G3[i7.2.2 
0000035 130  IW      with                     Z5 
0000035 140  JJ      special                  A4.2+ A6.2- 
0000035 150  NN1     consideration            X2.1 X2.4 S1.2.3- 
0000035 160  IO      of                       Z5 
0000035 170  AT      the                      Z5 
0000035 180  NN1     return                   M1 A9- S1.1.2+ N6 I1.1 G1.1/Q1.2 M3 K5.1 Y2% 
0000035 190  II      from                     Z5 
0000035 200  NN1     isra                     Z99 
0000035 210  ZZ1     l                        Z5 
0000037 010  AT      the                      Z5 
0000037 020  NN1     speech                   Q2.1 Q3 
0000037 030  IO      of                       Z5 
0000037 040  NN1     yugoslav                 Z2/S2mf 
0000037 050  NN2     immigrants               M1/M7/S2mf 
0000037 060  II      in                       Z5 
0000037 070  JJ      san                      S2.2m Z2/S2mf 
0000037 080  NN1     pedro                    Z1m 
0000037 090  NN1     california               Z2 
0000039 010  NN1     immigrant                M1/M7/S2mf 
0000039 020  NN1     integration              A1.8+ S5+ A2.2 N2% 
0000039 030  CC      and                      Z5 
0000039 040  JJ      urban                    M7 
0000039 050  NN1     renewal                  T2+/A2.1 
0000039 060  II      in                       Z5 
0000039 070  NN1     toronto                  Z2 
0000041 010  NN1     pioneer                  T2+/S2mf 
0000041 020  NN1     settlement               T2+[i8.2.1 M7 Q2.2 I1.2 
0000041 030  II      in                       T2+[i8.2.2 Z5 
0000041 040  ND1     south                    M6 
0000041 050  NN1     brazil                   Z2 
0000041 060  AT      the                      Z5 
0000041 070  NN1     case                     A4.1 O2 G2.1 B3 X4.1 Q3 
0000041 080  IO      of                       Z5 
0000041 090  NN1     toledo                   Z99 
0000041 100  NN1     paran                    Z99 
0000043 010  AT      the                      Z5 
0000043 020  NN1     sociology                S1.1.1 
0000043 030  IO      of                       Z5 
0000043 040  NN1     return                   M1 A9- S1.1.2+ N6 I1.1 G1.1/Q1.2 M3 K5.1 Y2% 
0000043 050  NN1     migration                M1 
0000043 060  AT1     a                        Z5 
0000043 070  JJ      bibliographic            Q4.1 Q4.2 
0000043 080  NN1     essay                    Q1.2/P1 Q1.2 X8+ 
0000045 010  AT      the                      Z5 
0000045 020  NN1     refugee                  M1/S2mf 
0000045 030  NN1     problem                  A12- X4.1 N2 B2- 
0000045 040  II      in                       Z5 
0000045 050  AT      the                      Z5 
0000045 060  JJ      middle                   Z2[i9.2.1 N4 M6 
0000045 070  ND1     east                     Z2[i9.2.2 M6 
0000047 010  JJ      modern                   T3- 
0000047 020  NN1     migration                M1 
0000047 030  AT1     a                        Z5 
0000047 040  NN1     challenge                A12- A6.1- S7.3+ E3- 
0000047 050  II      to                       Z5 
0000047 060  AT      the                      Z5 
0000047 070  ND1     west                     M6 
0000049 010  NN1     adjustment               A2.1+ 
0000049 020  IO      of                       Z5 
0000049 030  NN2     refugees                 M1/S2mf 
0000049 040  II      to                       Z5 
0000049 050  APPGE   their                    Z8 
0000049 060  JJ      new                      T3- 
0000049 070  NN1     environment              W5[i10.2.1 W5 W3 E1 Y2 O4.1 
0000049 080  VVN     based                    W5[i10.2.2 T2+ M6 A2.2 A2.2[i11.2.1 
0000049 090  II      on                       Z5 A2.2[i11.2.2 
0000049 100  AT      the                      Z5 
0000049 110  NN2     findings                 A10+ X2.1 X6+ 
0000049 120  IO      of                       Z5 
0000049 130  AT1     an                       Z5 
0000049 140  NN1     investigation            X2.4 B3 
0000049 150  II      in                       Z5 
0000049 160  NN1     westphalia               Z99 
0000051 010  NN1     dutch                    Z2/Q3 
0000051 020  NN1     group                    S5+c A4.1c B3% 
0000051 030  NN1     settlement               T2+[i12.2.1 M7 Q2.2 I1.2 
0000051 040  II      in                       T2+[i12.2.2 Z5 
0000051 050  NN1     brazil                   Z2 
0000053 010  NN2     churches                 S9/H1c S9c 
0000053 020  CC      and                      Z5 
0000053 030  NN2     immigrants               M1/M7/S2mf 
0000053 040  AT1     a                        Z5 
0000053 050  JJ      sociological             S1.1.1 
0000053 060  NN1     study                    P1 X2.4 H2 Q1.2 C1 
0000053 070  IO      of                       Z5 
0000053 080  AT      the                      Z5 
0000053 090  JJ      mutual                   S1.1.2+ 
0000053 100  NN1     effect                   A2.2 A8 
0000053 110  IO      of                       Z5 
0000053 120  NN1     religion                 S9 
0000053 130  CC      and                      Z5 
0000053 140  JJ      immigrant                M1/M7/S2mf 
0000053 150  NN1     adjustment               A2.1+ 
0000055 010  NN1     migration                M1 
0000055 020  CC      and                      Z5 
0000055 030  AT      the                      Z5 
0000055 040  JJ      christian                S9 
0000055 050  NN1     faith                    E6+ S9 X2.1 
0000057 010  NN1     integration              A1.8+ S5+ A2.2 N2% 
0000057 020  IO      of                       Z5 
0000057 030  NN2     refugees                 M1/S2mf 
0000057 040  DD      some                     N5 Z5 
0000057 050  NN2     observations             X3.4 Q2.1/X2.4 X2.1 
0000057 060  II      on                       Z5 
0000057 070  AT      the                      Z5 
0000057 080  NN2     hungarians               Z2/S2mf 
0000057 090  II      in                       Z5 
0000057 100  NN1     canada                   Z2 
0000059 010  NN2     changes                  A2.1+ I1 B1 
0000059 020  II      in                       Z5 
0000059 030  JJ      religious                S9 
0000059 040  NN1     behaviour                S1.1.1 A1.1.1 
0000059 050  IO      of                       Z5 
0000059 060  NN1     dutch                    Z2/Q3 
0000059 070  NN2     immigrants               M1/M7/S2mf 
0000059 080  AT1     a                        Z5 
0000059 090  NN1     research                 X2.4 
0000059 100  NN1     report                   Q2.2[i13.2.1 Q2.2 X3.2 
0000059 110  VVN     based                    Q2.2[i13.2.2 T2+ M6 A2.2 A2.2[i14.2.1 
0000059 120  II      on                       Z5 A2.2[i14.2.2 
0000059 130  AT1     a                        Z5 
0000059 140  JJ      random                   A1.4 
0000059 150  NN1     sample                   A4.1 B3 X7+ 
0000059 160  IO      of                       Z5 
0000059 170  MC      397                      N1 T1.2 T3 T1.3 N3.2 
0000059 180  JJ@     adult                    T3+/S2 
0000059 190  NN1     dutch                    Z2/Q3 
0000059 200  NN2     immigrants               M1/M7/S2mf 
0000059 210  II      in                       Z5 
0000059 220  NN1     christchurch             Z2 
0000059 230  JJ      new                      T3- 
0000059 240  NN1     zealand                  Z2 
0000061 010  ND1     east                     M6 
0000061 020  NN2     indians                  Z2/S2mf 
0000061 030  II      in                       Z5 
0000061 040  NN1     canada                   Z2 
0000063 010  NN1     finland                  Z2 
0000063 020  JJ      internal                 M6 A10- G1.1 
0000063 030  CC      and                      Z5 
0000063 040  JJ      external                 M6 G1.1/M7 
0000063 050  NN2     migrations               M1 
0000063 060  MCMC    1946-1972                N1 T1.2 T3 T1.3 N3.2 
0000065 010  NN1     transfer                 M6/A2.1+ A9- I3.1/A2.1+ Y2 M3 M4 M5 C1 
0000065 020  IO      of                       Z5 
0000065 030  NN1     technology               Y1 
0000065 040  II      through                  Z5 
0000065 050  JJ      international            M7 
0000065 060  NN2     movements                M1 S5+c K2 A2.1+ 
0000065 070  IO      of                       Z5 
0000065 080  NN1     manpower                 I3.1/S2 
0000067 010  NN1     racism                   S5+/Z2 
0000067 020  AT1     a                        Z5 
0000067 030  JJ      worldwide                W3 M7 A1.8+ 
0000067 040  NN1     factor                   A2.2 A4.1 N2 I2.1/S2mf@ 
0000067 050  JJ      opposing                 A6.1- 
0000067 060  NN1     migrant                  M1/S2mf 
0000067 070  NN1     adjustment               A2.1+ 
0000067 080  CC      and                      Z5 
0000067 090  RRQ     how                      Z5 A13.3 
0000067 100  TO      to                       Z5 
0000067 110  VVI     combat                   S8- 
0000067 120  PPH1    it                       Z8 
0000069 010  AT      the                      Z5 
0000069 020  NN1     formation                A2.1+ O4.4 S5+c 
0000069 030  IO      of                       Z5 
0000069 040  AT      the                      Z5 
0000069 050  NN1     labor                    A1.1.1 A12- I3.1/S5+ B1 
0000069 060  NN1     supply                   A9- A9+ S8+% 
0000069 070  II      under                    Z5 
0000069 080  JJ      accelerated              N3.8+/A2.1 
0000069 090  NN1     industrialization        I4 
0000069 100  NN1     venezuela                Z2 
0000071 010  JJ      international            M7 
0000071 020  NN1     factor                   A2.2 A4.1 N2 I2.1/S2mf@ 
0000071 030  NN1     movement                 M1 S5+c K2 A2.1+ 
0000071 040  CC      and                      Z5 
0000071 050  NN1     complementarity          N5.1+ Y1 
0000071 060  NN1     growth                   N3.2+/A2.1 A5.1+/A2.1 L3 B2- 
0000071 070  CC      and                      Z5 
0000071 080  NN1     entrepreneurship         I2.1 
0000071 090  II      under                    Z5 
0000071 100  NN2     conditions               O4.1 S6+ B2- B2+ Z7 
0000071 110  IO      of                       Z5 
0000071 120  JJ      cultural                 C1 S1.1.1 S5+ 
0000071 130  NN1     variation                A6.3+ K2@ 
0000073 010  NN1     productivite             Z99 
0000073 020  NN2     emploi                   Z99 
0000073 030  NP1     et                       Z3 
0000073 040  NN1     population               S2/N5c 
0000073 050  NN1     conference               S1.1.3+ 
0000073 060  MC      1952                     N1 T1.2 T3 T1.3 N3.2 
0000075 010  NN1     einige                   Z99 
0000075 020  NN1     soziologische            Z99 
0000075 030  NN1     probleme                 Z99 
0000075 040  FU      der                      Z3c 
0000075 050  NN1     bevolkerungsprognose     Z99 
0000075 060  NN1     reprint                  Q4.1 
0000077 010  NN2     comments                 Q2.1 
0000077 020  II      by                       Z5 
0000077 030  DD      some                     N5 Z5 
0000077 040  NN2     factors                  A2.2 A4.1 N2 I2.1/S2mf@ 
0000077 050  VVG     influencing              A2.2 A2.1+ 
0000077 060  JJ      postwar                  T1.3 
0000077 070  NN1     emigration               M1/M7 
0000077 080  II      from                     Z5 
0000077 090  AT      the                      Z5 
0000077 100  NN2     netherlands              Z2 Z3c 
0000079 010  NN1     offene                   Z99 
0000079 020  NN1     fragen                   Z99 
0000079 030  FU      der                      Z3c 
0000079 040  JJ@     **25;36;TOOLONG          Z99 
0000079 050  NN1     reprint                  Q4.1 
0000081 010  JJ      preliminary              N4 
0000081 020  NN1     scheme                   X7+ X4.2 
0000081 030  II      concerning               Z5 
0000081 040  JJ      vocational               I3.1 
0000081 050  NN1     training                 P1 K5.1 
0000081 060  IF      for                      Z5 
0000081 070  NN2     emigrants                M1/M7/S2mf 
0000083 010  VV0     reply                    Q2.2 
0000083 020  II      to                       Z5 
0000083 030  AT      the                      Z5 
0000083 040  NN1     board                    S7.1+/S5+c O2 O1.1 H4 P1 K5.1 
0000083 050  IO      of                       Z5 
0000083 060  NN1     settlement               T2+[i15.2.1 M7 Q2.2 I1.2 
0000083 070  II      in                       T2+[i15.2.2 Z5 
0000083 080  NN1     finland                  Z2 
0000085 010  NN2     possibilities            A7+ 
0000085 020  IF      for                      Z5 
0000085 030  JJ      inter-european           Z99 
0000085 040  NN1     migration                M1 
0000085 050  II      from                     Z5 
0000085 060  AT      the                      Z5 
0000085 070  NN2     netherlands              Z2 Z3c 
0000087 010  DD      some                     N5 Z5 
0000087 020  NN2     aspects                  A4.1 A8 M6 
0000087 030  IO      of                       Z5 
0000087 040  JJ      international            M7 
0000087 050  NN1     migration                M1 
0000087 060  II      in                       Z5 
0000087 070  NN1     sweden                   Z2 
0000087 080  VVN     compiled                 Q1.2 Y2 
0000087 090  II      from                     Z5 
0000087 100  ZZ1     h                        Z5 
0000087 110  NN1     hyrenius                 Z99 
0000087 120  VVG     befolkning               Z99 
0000087 130  UH      och                      Z4 
0000087 140  NN1     samkalle                 Z99 
0000089 010  AT      the                      Z5 
0000089 020  NN1     problem                  A12- X4.1 N2 B2- 
0000089 030  IO      of                       Z5 
0000089 040  NN1     land-settlement          Z99 
0000089 050  II      in                       Z5 
0000089 060  NN1     literature               Q4.1 Q1.2 
0000091 010  FW      quelques                 Z99 
0000091 020  NN2     remarques                Z99 
0000091 030  FW      sur                      Z99 
0000091 040  FW      la                       Z2 
0000091 050  NN1     situation                A3+ O4.1 M6 I3.1@ 
0000091 060  NN2     demographiques           Z99 
0000091 070  FW      en                       Z5 
0000091 080  NN1     allemagne                Z99 
0000091 090  NN1     orientale                Z99 
0000093 010  NN2     refugees                 M1/S2mf 
0000093 020  IO      of                       Z5 
0000093 030  NN1     europe                   Z2 
0000095 010  DD      some                     N5 Z5 
0000095 020  JJ      juridical                G2.1 
0000095 030  NN2     aspects                  A4.1 A8 M6 
0000095 040  IO      of                       Z5 
0000095 050  AT      the                      Z5 
0000095 060  NN1     refugee                  M1/S2mf 
0000095 070  NN1     problem                  A12- X4.1 N2 B2- 
0000095 080  AT1     a                        Z5 
0000095 090  NN1     book                     Q4.1/X2.4[i16.2.1 Q4.1 Q1.2 K5.1/I1 
0000095 100  NN1     review                   Q4.1/X2.4[i16.2.2 X2.4 Q4 
0000097 010  FW      le                       Z3c 
0000097 020  NN1     centre                   M6 H1c M7c G1.2c K5.1mfn 
0000097 030  ZZ1     d                        Z5 
0000097 040  NN2     etudes                   Z99 
0000097 050  NP1     de                       Z5 
0000097 060  NN1     population               S2/N5c 
0000099 010  JJ      social                   S1.1.1 
0000099 020  CC      and                      Z5 
0000099 030  JJ      economic                 I1.3- I2.1 
0000099 040  NN1     integration              A1.8+ S5+ A2.2 N2% 
0000099 050  IO      of                       Z5 
0000099 060  NN2     aliens                   M7/S2mf W1/S2mf 
0000099 070  II      in                       Z5 
0000099 080  NN1     france                   Z2 Z1mf 
0000101 010  VVZ     avantages                Z99 
0000101 020  NP1     et                       Z3 
0000101 030  NN2     inconvenients            A12- S8- 
0000101 040  NP1     de                       Z5 
0000101 050  ZZ1     l                        Z5 
0000101 060  NN1     emigration               M1/M7 
0000101 070  NN1     extra-europeenne         Z99 
0000101 080  RR      also                     N5++ 
0000101 090  VVD     authored                 Z99 
0000101 100  II      by                       Z5 
0000101 110  NNU     sj                       Z99 
0000101 120  NN1     groenman                 Z99 
0000101 130  CC      and                      Z5 
0000101 140  ZZ1     g                        Z5 
0000101 150  VV0     beijer                   Z99 
0000103 010  FU      la                       Z2 
0000103 020  NN1     mobilite                 Z99 
0000103 030  FW      de                       Z5 
0000103 040  FW      la                       Z2 
0000103 050  NN1     main-oeuvre              Z99 
0000103 060  FW      dans                     Z99 
0000103 070  MC%     l                        N1 T1.2 T3 T1.3 N3.2 
0000103 080  NN1     europe                   Z2 
0000103 090  NN1     federee                  Z99 
0000105 010  DD      some                     N5 Z5 
0000105 020  JJ      special                  A4.2+ A6.2- 
0000105 030  NN2     aspects                  A4.1 A8 M6 
0000105 040  IO      of                       Z5 
0000105 050  AT      the                      Z5 
0000105 060  JJ      agrarian                 F4 
0000105 070  NN1     population               S2/N5c 
0000105 080  NN2     problems                 A12- X4.1 N2 B2- 
0000105 090  II      in                       Z5 
0000105 100  AT      the                      Z5 
0000105 110  NN2     netherlands              Z2 Z3c 
0000107 010  NN1     immigration              M1/M7 
0000107 020  CC      and                      Z5 
0000107 030  AT      the                      Z5 
0000107 040  JJ      religious                S9 
0000107 050  NN2     problems                 A12- X4.1 N2 B2- 
0000107 060  II      in                       Z5 
0000107 070  NN1     brazil                   Z2 
0000109 010  NN1@    abstract                 Q4.1 A1.6 
0000109 020  IO      of                       Z5 
0000109 030  AT      the                      Z5 
0000109 040  JJ      ethnic                   S5+ 
0000109 050  NN1     german                   Z2/S2mf Z2/Q3 
0000109 060  NN1     refugee                  M1/S2mf 
0000109 070  II      in                       Z5 
0000109 080  NN1     austria                  Z2 Z1 
0000109 090  MC      1945                     T1.2[i17.3.1 N3.2[i17.3.1 T1.3[i17.3.1 N1 T1.2 T3 T1.3 N3.2 
0000109 100  II      to                       T1.2[i17.3.2 N3.2[i17.3.2 T1.3[i17.3.2 Z5 
0000109 110  MC      1954                     T1.2[i17.3.3 N3.2[i17.3.3 T1.3[i17.3.3 N1 T1.2 T3 T1.3 N3.2 
0000111 010  DD      some                     N5 Z5 
0000111 020  NN2     aspects                  A4.1 A8 M6 
0000111 030  IO      of                       Z5 
0000111 040  NN1     immigration              M1/M7 
0000111 050  II      in                       Z5 
0000111 060  JJ      israel                   Z2 
0000113 010  JJ      interlinked              A2.2 
0000113 020  NN1     migration                M1 
0000115 010  NN1     migration                M1 
0000115 020  II      by                       Z5 
0000115 030  NN1     air                      O1.3 A8 W1 Q4.3 M1 
0000117 010  NN1     survey                   X2.4 
0000117 020  IO      of                       Z5 
0000117 030  DD      some                     N5 Z5 
0000117 040  NN2     causes                   A2.2 X2.1 X4.1 
0000117 050  IF      for                      Z5 
0000117 060  NN2     succes                   Z99 
0000117 070  CC      and                      Z5 
0000117 080  NN1     failure                  X9.2- A5.1-/A2.1 
0000117 090  IO      of                       Z5 
0000117 100  JJ      rural                    F4/M7 
0000117 110  NN2     settlements              M7 Q2.2 I1.2 
0000117 120  IO      of                       Z5 
0000117 130  NN2     europeans                Z2/S2mf 
0000117 140  JJ      overseas                 M6 
0000119 010  NN1     preface                  T2+ T2+/Q2.1 
0000119 020  II      to                       Z5 
0000119 030  JJ      economic                 I1.3- I2.1 
0000119 040  NN2     impacts                  A2.2 A1.1.1 
0000119 050  IO      of                       Z5 
0000119 060  NN1     immigration              M1/M7 
0000119 070  AT      the                      Z5 
0000119 080  JJ      brazilian                Z2 
0000119 090  NN1     immigration              M1/M7 
0000119 100  NN1     problem                  A12- X4.1 N2 B2- 
0000121 010  NN2     effects                  A2.2 A8 
0000121 020  IO      of                       Z5 
0000121 030  NN1     migration                M1 
0000121 040  II      on                       Z5 
0000121 050  AT      the                      Z5 
0000121 060  JJ      economic                 I1.3- I2.1 
0000121 070  NN1     situation                A3+ O4.1 M6 I3.1@ 
0000121 080  IO      of                       Z5 
0000121 090  AT      the                      Z5 
0000121 100  NN1     population               S2/N5c 
0000121 110  IO      of                       Z5 
0000121 120  JJ      selected                 X7+ 
0000121 130  JJ      european                 Z2 
0000121 140  NN2     countries                M7 
0000121 150  IO      of                       Z5 
0000121 160  NN1     emigration               M1/M7 
0000123 010  NN1     reproduction             A6.1+ A5.4- A1.1.1/N6+ S3.2/B1 
0000123 020  CC      and                      Z5 
0000123 030  NN1     replacement              A2.1+ A2.1+/S2mf 
0000123 040  VVZ@    rates                    A5.1 
0000125 010  DD      some                     N5 Z5 
0000125 020  JJ      preliminary              N4 
0000125 030  NN2     conclusions              X6+ T2- 
0000125 040  II      concerning               Z5 
0000125 050  JJ      internal                 M6 A10- G1.1 
0000125 060  NN1     migration                M1 
0000125 070  IO      of                       Z5 
0000125 080  NN2     families                 S4 A4.1 
0000125 090  CC      and                      Z5 
0000125 100  JJ      individual               N5- 
0000125 110  NN2     males                    S2.2m 
0000125 120  CC      and                      Z5 
0000125 130  JJ      individual               N5- 
0000125 140  NN2     females                  S2.1f 
0000125 150  II      in                       Z5 
0000125 160  AT      the                      Z5 
0000125 170  NN2     netherlands              Z2 Z3c 
0000125 180  VVN     based                    A2.2[i18.2.1 T2+ M6 A2.2 
0000125 190  II      on                       A2.2[i18.2.2 Z5 
0000125 200  JJ      new                      T3- 
0000125 210  JJ      statistical              N2 
0000125 220  NN      data                     X2.2/X2.4 Q1.1 
0000127 010  NN2     missionairs              Z99 
0000127 020  VVZ     etrangers                Z99 
0000127 030  NP1     et                       Z3 
0000127 040  NN2     immigres                 Z99 
0000127 050  FW      en                       Z5 
0000127 060  NN1     france                   Z2 Z1mf 
